country_code,region_name,iata,icao,airport,latitude,longitude
ID,Gorontalo,UOL,WAMY,Pogogul Airport,1.1027,121.414
EG,Suhaj,HMB,HEMK,Sohag International Airport,26.3428,31.7428
MX,Tamaulipas,CVM,MMCV,General Pedro J. Mendez International Airport,23.7033,-98.9565
TR,Igdir,IGD,LTCT,Igdir Airport,39.9766,43.8766
IS,Nordurland eystra,AEY,BIAR,Akureyri Airport,65.66,-18.0727
BR,Maranhao,BDC,SNBC,Barra do Corda Airport,-5.5025,-45.2158
US,Arizona,YUM,KNYL,Yuma International Airport / MCAS Yuma,32.6566,-114.606
US,Alabama,SEM,KSEM,Craig Field,32.3439,-86.9878
CD,Kasai Oriental,LJA,FZVA,Lodja Airport,-3.417,23.45
US,Kansas,GBD,KGBD,Great Bend Municipal Airport,38.3443,-98.8592
US,North Carolina,USA,KJQF,Concord Regional Airport,35.3878,-80.7091
LK,North Central Province,HIM,VCCH,Hingurakgoda Airport (Minneriya Airport),8.04981,80.9814
GR,Attiki,ATH,LGAV,Athens International Airport (Eleftherios Venizelos Airport),37.9364,23.9445
CL,La Araucania,ZIC,SCTO,Victoria Airport,-38.2456,-72.3486
AU,Queensland,CBY,,Canobie Airport,-19.4794,140.927
BR,Distrito Federal,BSB,SBBR,Brasilia International Airport (Presidente J. Kubitschek Int'l Airport),-15.8692,-47.9208
PG,Madang,AWR,,Awar Airport,-4.124,144.853
AU,Western Australia,WUN,YWLU,Wiluna Airport,-26.6292,120.221
IR,Bushehr,KNR,OIBJ,Jam Airport,27.8205,52.3522
LY,Tarabulus,MJI,HLLM,Mitiga International Airport,32.8941,13.276
CN,Liaoning,CNI,ZYCH,Changhai Airport,39.2667,122.667
US,Alaska,VEE,PAVE,Venetie Airport,67.0087,-146.366
SO,Bay,BIB,HCMB,Baidoa Airport,3.10222,43.6286
BO,Santa Cruz,MQK,SLTI,San Matias Airport,-16.3392,-58.4019
PG,Western,TLP,AYQL,Tumolbil Airport,-4.7748,141.013
CA,Ontario,YYW,CYYW,Armstrong Airport,50.2903,-88.9097
PG,West New Britain,WIU,AYIX,Witu Airport,-4.68952,149.44
TR,Istanbul,IST,LTFM,Istanbul Ataturk Airport,41.2753,28.7519
TR,Istanbul,SAW,LTFJ,Sabiha Gokcen International Airport,40.8986,29.3092
